Date,Average Daily Value
2008-01-01,1.6208
2008-01-02,1.0792
2008-01-03,3.0583
2008-01-04,3.7583
2008-01-05,2.5
2008-01-06,1.8083
2008-01-07,4.1917
2008-01-08,7.8458
2008-01-09,6.3667
2008-01-10,5.25
2008-01-11,8.1792
2008-01-12,3.9875
2008-01-13,3.0917
2008-01-14,4.475
2008-01-15,3.1083
2008-01-16,2.125
2008-01-17,1.6083
2008-01-18,4.8208
2008-01-19,5.8458
2008-01-20,3.8625
2008-01-21,1.6583
2008-01-22,2.2875
2008-01-23,2.3167
2008-01-24,7.95
2008-01-25,4.1043
2008-01-26,2.1208
2008-01-27,3.7917
2008-01-28,3.2333
2008-01-29,4.1667
2008-01-30,9.9583
2008-01-31,8.2333
2008-02-01,19.9
2008-02-02,5.0545
2008-02-03,4.975
2008-02-04,9.3636
2008-02-05,2.8909
2008-02-06,0.6708
2008-02-07,2.4667
2008-02-08,3.1208
2008-02-09,3.5333
2008-02-10,6.9708
2008-02-11,4.375
2008-02-12,2.4917
2008-02-13,2.8125
2008-02-14,2.7917
2008-02-15,0.3083
2008-02-16,1.325
2008-02-17,2.4417
2008-02-18,3.7958
2008-02-19,7.3955
2008-02-20,10
2008-02-21,8.5167
2008-02-22,9.175
2008-02-23,9.0417
2008-02-24,11.8208
2008-02-25,4.4333
2008-02-26,4.5833
2008-02-27,1.2292
2008-02-28,2.5
2008-02-29,4.9583
2008-03-01,1.6375
2008-03-02,8.1458
2008-03-03,2.3375
2008-03-04,3.975
2008-03-05,2.7917
2008-03-06,3.8458
2008-03-07,3.6042
2008-03-08,4.7583
2008-03-09,1.5083
2008-03-10,3.3708
2008-03-11,0.575
2008-03-12,0.95
2008-03-13,3.7292
2008-03-14,5.05
2008-03-15,8.9
2008-03-16,5.2958
2008-03-17,1.375
2008-03-18,4.5125
2008-03-19,4.3542
2008-03-20,4.5083
2008-03-21,5.2292
2008-03-22,3.0542
2008-03-23,3.5708
2008-03-24,1.5083
2008-03-25,1.0913
2008-03-26,2.5208
2008-03-27,4.7292
2008-03-28,2.15
2008-03-29,5.2792
2008-03-30,8.7125
2008-03-31,10.0792
2008-04-01,2.5348
2008-04-02,2.05
2008-04-03,1.9292
2008-04-04,4.8375
2008-04-05,3.925
2008-04-06,4.1208
2008-04-07,2.9609
2008-04-08,2.4417
2008-04-09,2.9625
2008-04-10,4.4542
2008-04-11,3.3375
2008-04-12,2.3
2008-04-13,2.2583
2008-04-14,4.9583
2008-04-15,4.5667
2008-04-16,1.6174
2008-04-17,6.1042
2008-04-18,3.5417
2008-04-19,1.7958
2008-04-20,1.1792
2008-04-21,2.5125
2008-04-22,3.887
2008-04-23,5.2917
2008-04-24,7.1083
2008-04-25,10.3292
2008-04-26,5.7125
2008-04-27,6.0625
2008-04-28,6.7083
2008-04-29,5.1708
2008-04-30,3.9958
2008-05-01,3.8609
2008-05-02,7.0714
2008-05-03,7.3417
2008-05-04,5.95
2008-05-05,6.0875
2008-05-06,11.525
2008-05-07,7.0792
2008-05-08,2.3208
2008-05-09,5.8708
2008-05-10,4.6792
2008-05-11,3.8125
2008-05-12,6.1917
2008-05-13,3.8792
2008-05-14,2.6583
2008-05-15,6.2792
2008-05-16,11.8125
2008-05-17,10.7375
2008-05-18,8.0292
2008-05-19,5.1708
2008-05-20,5.9125
2008-05-21,1.5083
2008-05-22,1.7833
2008-05-23,4.6917
2008-05-24,5.6625
2008-05-25,4.325
2008-05-26,4.55
2008-05-27,4.1708
2008-05-28,3.1875
2008-05-29,4.85
2008-05-30,5.3458
2008-05-31,7.0167
2008-06-01,5.1542
2008-06-02,4.5292
2008-06-03,3.6292
2008-06-04,5.6208
2008-06-05,4.05
2008-06-06,1.3125
2008-06-07,1.3458
2008-06-08,1.4042
2008-06-09,1.6609
2008-06-10,1.725
2008-06-11,2.8875
2008-06-12,4.2833
2008-06-13,3.3042
2008-06-14,2.2208
2008-06-15,4.45
2008-06-16,4.6167
2008-06-17,5.225
2008-06-18,4.4458
2008-06-19,3.1208
2008-06-20,3.6208
2008-06-21,4.9542
2008-06-22,2.5417
2008-06-23,3.0667
2008-06-24,3.225
2008-06-25,3.3333
2008-06-26,3.9583
2008-06-27,4.3083
2008-06-28,5.4833
2008-06-29,7.7583
2008-06-30,10.9625
2008-07-01,9.1708
2008-07-02,7.6208
2008-07-03,8.1542
2008-07-04,7.2174
2008-07-05,3.5417
2008-07-06,3.6783
