Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2015-01-01,-2.2,70.5,7.2,235.9
2015-01-02,-10.4,86.8,19.1,7.7
2015-01-03,-19.7,75.7,10.2,10.3
2015-01-04,-21.4,71.3,12.6,209.8
2015-01-05,-16.2,71.1,11.6,13
2015-01-06,-14.8,79.3,9.7,68.7
2015-01-07,-6.6,74.7,20.2,178
2015-01-08,-12.9,67.6,19.7,350.1
2015-01-09,-12.7,70.5,7.9,231.2
2015-01-10,-8.8,76.4,10.8,73.2
2015-01-11,-12.9,83.3,6.9,208.4
2015-01-12,-11.2,72.7,6.7,322.1
2015-01-13,-0.7,50.5,8.2,264.4
2015-01-14,6.4,43.8,23.4,268.2
2015-01-15,4.4,45,14,247.9
2015-01-16,4.2,43.5,23.6,279.2
2015-01-17,3.5,38.5,18.3,281.7
2015-01-18,1.5,60.4,14,240
2015-01-19,3.9,39,21,279.6
2015-01-20,0.3,43.9,14.7,294
2015-01-21,0.1,48.4,14,222.3
2015-01-22,7.9,40.7,31.7,274.8
2015-01-23,7.3,42.6,21.3,263.9
2015-01-24,7.1,42.7,20.1,266.8
2015-01-25,9,49.3,11,218.2
2015-01-26,6.5,58.3,9,227.2
2015-01-27,7.6,49.3,10.3,232.5
2015-01-28,1.4,73.2,8.9,134.1
2015-01-29,0,66.3,7.2,182.5
2015-01-30,-2,68.2,13.2,35.7
2015-01-31,-13.3,80.3,15.8,37.5
2015-02-01,-13,78.3,10.6,336.7
2015-02-02,-14.2,79.2,14,60.4
2015-02-03,-14.5,71.2,8.9,341.5
2015-02-04,-5.3,56,13.5,220.4
2015-02-05,-8.5,83.2,14.5,70.9
2015-02-06,-13.9,85.1,10.1,77.3
2015-02-07,-4.6,74,8.8,210.8
2015-02-08,-10.3,73.9,14.1,73.9
2015-02-09,-13,79.6,13.1,69.9
2015-02-10,-10,75.4,9.8,54.2
2015-02-11,-9.7,89,19.2,165
2015-02-12,4.2,61.2,13.1,257.1
2015-02-13,7.1,59.2,11.4,187.3
2015-02-14,2.6,71.3,21,310.2
2015-02-15,1.3,56.8,10.3,348.9
2015-02-16,-0.5,68.6,18,343.9
2015-02-17,-3,79.2,9.1,208.7
2015-02-18,2.9,59.1,8.4,209.6
2015-02-19,5.7,44.6,16.1,298.7
2015-02-20,-0.5,74.3,19.2,341.7
2015-02-21,-8.7,79.2,13.4,20.3
2015-02-22,-5.6,60.3,9.8,213.6
2015-02-23,6.2,48.5,14.5,311.2
2015-02-24,5.8,51,20.6,328.5
2015-02-25,-9.2,79.1,19.2,83
